0.3956,0.0405,0.1771,-0.1987,1.199,-1.0544,-0.4493,0.172,2.5872,-2.4019,1.1872,-0.9047,0
0.3922,0.0478,0.1768,-0.1973,1.199,-0.979,-0.5375,0.1712,2.8184,-2.3553,1.3628,-0.8025,0
0.3895,0.0514,0.1756,-0.1966,1.199,-0.9311,-0.5981,0.1704,2.9532,-2.3666,1.4535,-0.7698,0
0.387,0.0538,0.1742,-0.1961,1.199,-0.8931,-0.6487,0.1696,3.0529,-2.3985,1.5136,-0.762,0
0.3848,0.0553,0.1727,-0.1957,1.199,-0.8609,-0.6933,0.1687,3.1318,-2.4423,1.5556,-0.7688,0
0.3826,0.0563,0.171,-0.1954,1.199,-0.8329,-0.7338,0.1678,3.1962,-2.494,1.5849,-0.7855,0
0.3805,0.0569,0.1692,-0.1951,1.199,-0.8079,-0.771,0.1668,3.2495,-2.5515,1.6049,-0.8096,0
0.3786,0.0569,0.1674,-0.1949,1.1998,-0.7886,-0.8032,0.1659,3.2876,-2.6173,1.6116,-0.8441,0
0.3767,0.0569,0.1656,-0.1947,1.1999,-0.7684,-0.8356,0.1649,3.3248,-2.6828,1.6178,-0.8787,0
0.3748,0.0569,0.1638,-0.1945,1.1992,-0.7471,-0.8681,0.1639,3.3609,-2.7478,1.6235,-0.9132,0
0.373,0.0568,0.162,-0.1943,1.1978,-0.7248,-0.9007,0.1629,3.396,-2.8125,1.6285,-0.9479,0
0.3711,0.0568,0.1602,-0.1941,1.1956,-0.7014,-0.9335,0.1619,3.43,-2.877,1.6328,-0.9826,0
0.3693,0.0567,0.1584,-0.1938,1.1926,-0.6771,-0.9664,0.1609,3.4629,-2.9411,1.6365,-1.0175,0
0.3676,0.0565,0.1566,-0.1936,1.1888,-0.6517,-0.9994,0.1598,3.4946,-3.0051,1.6393,-1.0526,0
0.3658,0.0563,0.1549,-0.1934,1.1842,-0.6252,-1.0326,0.1588,3.525,-3.0689,1.6414,-1.088,0
0.3641,0.0561,0.1532,-0.1932,1.1788,-0.5977,-1.0659,0.1578,3.5541,-3.1326,1.6425,-1.1238,0
0.3624,0.0559,0.1515,-0.193,1.1726,-0.5691,-1.0994,0.1567,3.5817,-3.1963,1.6426,-1.1599,0
0.3607,0.0555,0.1497,-0.1928,1.1655,-0.5394,-1.133,0.1557,3.6078,-3.26,1.6416,-1.1966,0
0.3591,0.0552,0.148,-0.1926,1.1577,-0.5086,-1.1668,0.1546,3.6321,-3.324,1.6393,-1.2339,0
0.3575,0.0548,0.1463,-0.1924,1.149,-0.4768,-1.2007,0.1536,3.6545,-3.3882,1.6356,-1.272,0
0.3559,0.0543,0.1447,-0.1922,1.1395,-0.444,-1.2347,0.1526,3.6749,-3.4528,1.6303,-1.3111,0
0.3543,0.0537,0.143,-0.1921,1.1293,-0.4103,-1.2687,0.1515,3.6929,-3.518,1.6232,-1.3512,0
0.3528,0.053,0.1413,-0.1919,1.1183,-0.3758,-1.3027,0.1505,3.7082,-3.584,1.6141,-1.3926,0
0.3513,0.0523,0.1396,-0.1918,1.1066,-0.3408,-1.3364,0.1494,3.7207,-3.6509,1.6026,-1.4356,0
0.3499,0.0514,0.1379,-0.1917,1.0945,-0.3055,-1.3698,0.1484,3.73,-3.7189,1.5886,-1.4803,0
0.3485,0.0504,0.1362,-0.1917,1.082,-0.2704,-1.4026,0.1473,3.7357,-3.7882,1.5717,-1.527,0
0.3472,0.0493,0.1345,-0.1916,1.0695,-0.2361,-1.4345,0.1463,3.7376,-3.859,1.5517,-1.5759,0
0.3458,0.048,0.1328,-0.1916,1.0572,-0.2033,-1.465,0.1453,3.7356,-3.9314,1.5284,-1.6271,0
0.3446,0.0466,0.1311,-0.1917,1.0456,-0.1727,-1.4938,0.1442,3.7297,-4.0054,1.502,-1.6805,0
0.3434,0.0451,0.1294,-0.1917,1.0349,-0.1449,-1.5206,0.1432,3.7202,-4.0807,1.4727,-1.736,0
0.3422,0.0434,0.1277,-0.1918,1.0254,-0.1206,-1.5451,0.1422,3.7075,-4.1571,1.4408,-1.7932,0
0.341,0.0417,0.126,-0.1919,1.0173,-0.0999,-1.5674,0.1412,3.6921,-4.2343,1.4068,-1.8517,0
0.3399,0.0399,0.1243,-0.192,1.0106,-0.0826,-1.5874,0.1401,3.6747,-4.3119,1.3712,-1.9112,0
0.3388,0.0381,0.1226,-0.1922,1.0052,-0.0685,-1.6054,0.1391,3.6557,-4.3896,1.3345,-1.9712,0
0.3377,0.0362,0.121,-0.1923,1.0008,-0.0572,-1.6217,0.1381,3.6356,-4.4671,1.2971,-2.0314,0
0.3367,0.0343,0.1193,-0.1925,0.9974,-0.0481,-1.6365,0.1371,3.6147,-4.5443,1.2591,-2.0916,0
0.3357,0.0324,0.1177,-0.1926,0.9947,-0.041,-1.6501,0.1361,3.5931,-4.6211,1.2209,-2.1517,0
0.3347,0.0305,0.1161,-0.1928,0.9926,-0.0354,-1.6627,0.1351,3.571,-4.6973,1.1825,-2.2116,0
0.3337,0.0286,0.1145,-0.193,0.991,-0.0309,-1.6745,0.1341,3.5485,-4.7728,1.144,-2.2711,0
0.3327,0.0267,0.1129,-0.1932,0.9896,-0.0274,-1.6855,0.1331,3.5258,-4.8478,1.1055,-2.3303,0
0.3317,0.0248,0.1114,-0.1934,0.9886,-0.0246,-1.696,0.1321,3.5028,-4.922,1.0671,-2.3891,0
0.3308,0.0229,0.1098,-0.1936,0.9877,-0.0225,-1.706,0.1312,3.4796,-4.9956,1.0287,-2.4475,0
0.3299,0.021,0.1083,-0.1938,0.9869,-0.0207,-1.7156,0.1302,3.4562,-5.0684,0.9903,-2.5054,0
0.329,0.0191,0.1068,-0.1941,0.9862,-0.0194,-1.7248,0.1292,3.4326,-5.1405,0.9521,-2.5629,0
0.3281,0.0172,0.1053,-0.1943,0.9856,-0.0183,-1.7337,0.1283,3.4089,-5.2119,0.914,-2.6199,0
0.3272,0.0153,0.1039,-0.1945,0.985,-0.0174,-1.7423,0.1273,3.3851,-5.2826,0.8761,-2.6764,0
0.3264,0.0135,0.1024,-0.1948,0.9844,-0.0167,-1.7507,0.1263,3.3612,-5.3525,0.8383,-2.7324,0
